,NID,NUMCTRL,GLLID,FACEID,ix,iy,iz,x,y,z
0,0,216,97,1,1,1,1,0.0,0.0,0.6000000000000001
1,0,216,97,1,1,1,2,0.0,0.0,0.6234944676070537
2,0,216,97,1,1,1,3,0.0,0.0,0.6714768483519356
3,0,216,97,1,1,1,4,0.0,0.0,0.7285231516480646
4,0,216,97,1,1,1,5,0.0,0.0,0.7765055323929466
5,0,216,97,1,1,1,6,0.0,0.0,0.8
6,0,216,97,1,2,1,1,0.07841278563854105,0.0,0.6000000000000002
7,0,216,97,1,2,1,3,0.07841278563854105,0.0,0.6714768483519358
8,0,216,97,1,2,1,4,0.07841278563854105,0.0,0.7285231516480647
9,0,216,97,1,2,1,6,0.07841278563854105,0.0,0.8000000000000002
10,0,216,97,1,2,1,2,0.07841278563854107,0.0,0.6234944676070537
11,0,216,97,1,2,1,5,0.07841278563854107,0.0,0.7765055323929467
12,0,216,97,1,3,1,1,0.23855398137458467,0.0,0.6000000000000001
13,0,216,97,1,3,1,3,0.23855398137458467,0.0,0.6714768483519356
14,0,216,97,1,3,1,4,0.23855398137458467,0.0,0.7285231516480646
15,0,216,97,1,3,1,5,0.23855398137458467,0.0,0.7765055323929466
16,0,216,97,1,3,1,6,0.23855398137458467,0.0,0.8
17,0,216,97,1,3,1,2,0.23855398137458475,0.0,0.6234944676070537
18,0,216,97,1,4,1,1,0.4289460186254153,0.0,0.6000000000000001
19,0,216,97,1,4,1,3,0.4289460186254153,0.0,0.6714768483519356
20,0,216,97,1,4,1,4,0.4289460186254153,0.0,0.7285231516480646
21,0,216,97,1,4,1,5,0.4289460186254153,0.0,0.7765055323929466
22,0,216,97,1,4,1,6,0.4289460186254153,0.0,0.8
23,0,216,97,1,4,1,2,0.4289460186254155,0.0,0.6234944676070537
24,0,216,97,1,5,1,1,0.5890872143614592,0.0,0.6000000000000002
25,0,216,97,1,5,1,2,0.5890872143614592,0.0,0.6234944676070537
26,0,216,97,1,5,1,3,0.5890872143614592,0.0,0.6714768483519358
27,0,216,97,1,5,1,4,0.5890872143614592,0.0,0.7285231516480647
28,0,216,97,1,5,1,5,0.5890872143614592,0.0,0.7765055323929467
29,0,216,97,1,5,1,6,0.5890872143614592,0.0,0.8000000000000002
30,0,216,97,1,6,1,1,0.6675,0.0,0.6000000000000001
31,0,216,97,1,6,1,2,0.6675,0.0,0.6234944676070537
32,0,216,97,1,6,1,3,0.6675,0.0,0.6714768483519356
33,0,216,97,1,6,1,4,0.6675,0.0,0.7285231516480646
34,0,216,97,1,6,1,5,0.6675,0.0,0.7765055323929466
35,0,216,97,1,6,1,6,0.6675,0.0,0.8
36,0,216,98,1,1,1,1,0.6675,0.0,0.6000000000000001
37,0,216,98,1,1,1,2,0.6675,0.0,0.6234944676070537
38,0,216,98,1,1,1,3,0.6675,0.0,0.6714768483519356
39,0,216,98,1,1,1,4,0.6675,0.0,0.7285231516480646
40,0,216,98,1,1,1,5,0.6675,0.0,0.7765055323929466
41,0,216,98,1,1,1,6,0.6675,0.0,0.8
42,0,216,98,1,2,1,1,0.7459127856385415,0.0,0.6000000000000002
43,0,216,98,1,2,1,2,0.7459127856385415,0.0,0.6234944676070537
44,0,216,98,1,2,1,3,0.7459127856385415,0.0,0.6714768483519358
45,0,216,98,1,2,1,4,0.7459127856385415,0.0,0.7285231516480647
46,0,216,98,1,2,1,5,0.7459127856385415,0.0,0.7765055323929467
47,0,216,98,1,2,1,6,0.7459127856385415,0.0,0.8000000000000002
48,0,216,98,1,3,1,1,0.9060539813745847,0.0,0.6000000000000001
49,0,216,98,1,3,1,3,0.9060539813745847,0.0,0.6714768483519356
50,0,216,98,1,3,1,4,0.9060539813745847,0.0,0.7285231516480646
51,0,216,98,1,3,1,6,0.9060539813745847,0.0,0.8
52,0,216,98,1,3,1,5,0.9060539813745848,0.0,0.7765055323929466
53,0,216,98,1,3,1,2,0.9060539813745851,0.0,0.6234944676070537
54,0,216,98,1,4,1,1,1.0964460186254152,0.0,0.6000000000000001
55,0,216,98,1,4,1,2,1.0964460186254152,0.0,0.6234944676070537
56,0,216,98,1,4,1,3,1.0964460186254152,0.0,0.6714768483519356
57,0,216,98,1,4,1,4,1.0964460186254152,0.0,0.7285231516480646
58,0,216,98,1,4,1,5,1.0964460186254152,0.0,0.7765055323929466
59,0,216,98,1,4,1,6,1.0964460186254152,0.0,0.8
60,0,216,98,1,5,1,1,1.2565872143614587,0.0,0.6000000000000002
61,0,216,98,1,5,1,2,1.2565872143614587,0.0,0.6234944676070537
62,0,216,98,1,5,1,3,1.2565872143614587,0.0,0.6714768483519358
63,0,216,98,1,5,1,4,1.2565872143614587,0.0,0.7285231516480647
64,0,216,98,1,5,1,5,1.2565872143614587,0.0,0.7765055323929467
65,0,216,98,1,5,1,6,1.2565872143614587,0.0,0.8000000000000002
66,0,216,67,1,1,1,1,1.335,0.0,0.4
67,0,216,67,1,1,1,2,1.335,0.0,0.4234944676070537
68,0,216,67,1,1,1,3,1.335,0.0,0.47147684835193554
69,0,216,67,1,1,1,4,1.335,0.0,0.5285231516480646
70,0,216,67,1,1,1,5,1.335,0.0,0.5765055323929467
71,0,216,67,1,1,1,6,1.335,0.0,0.6000000000000001
72,0,216,98,1,6,1,1,1.335,0.0,0.6000000000000001
73,0,216,98,1,6,1,2,1.335,0.0,0.6234944676070537
74,0,216,98,1,6,1,3,1.335,0.0,0.6714768483519356
75,0,216,98,1,6,1,4,1.335,0.0,0.7285231516480646
76,0,216,98,1,6,1,5,1.335,0.0,0.7765055323929466
77,0,216,98,1,6,1,6,1.335,0.0,0.8
78,0,216,99,1,1,1,1,1.335,0.0,0.6000000000000001
79,0,216,99,1,1,1,2,1.335,0.0,0.6234944676070537
80,0,216,99,1,1,1,3,1.335,0.0,0.6714768483519356
81,0,216,99,1,1,1,4,1.335,0.0,0.7285231516480646
82,0,216,99,1,1,1,5,1.335,0.0,0.7765055323929466
83,0,216,99,1,1,1,6,1.335,0.0,0.8
84,0,216,67,1,2,1,1,1.4134127856385417,0.0,0.4000000000000001
85,0,216,67,1,2,1,2,1.4134127856385417,0.0,0.423494467607054
86,0,216,67,1,2,1,3,1.4134127856385417,0.0,0.47147684835193576
87,0,216,67,1,2,1,4,1.4134127856385417,0.0,0.5285231516480644
88,0,216,67,1,2,1,5,1.4134127856385417,0.0,0.5765055323929467
89,0,216,67,1,2,1,6,1.4134127856385417,0.0,0.6000000000000002
90,0,216,99,1,2,1,1,1.4134127856385417,0.0,0.6000000000000002
91,0,216,99,1,2,1,2,1.4134127856385417,0.0,0.6234944676070537
92,0,216,99,1,2,1,3,1.4134127856385417,0.0,0.6714768483519358
