timestamp,episode,step,mean_reward,std_reward,min_reward,max_reward,total_reward,num_agents
2026-03-11T19:35:26.591555,1,0,-0.03528943285346031,0.0,-0.03528943285346031,-0.03528943285346031,-0.03528943285346031,1
2026-03-11T19:35:26.656830,1,1,0.019522881135344505,0.0,0.019522881135344505,0.019522881135344505,0.019522881135344505,1
2026-03-11T19:35:26.719535,1,2,0.018494730815291405,0.0,0.018494730815291405,0.018494730815291405,0.018494730815291405,1
2026-03-11T19:35:26.785172,1,3,0.09513749182224274,0.0,0.09513749182224274,0.09513749182224274,0.09513749182224274,1
2026-03-11T19:35:26.848692,1,4,0.14882792532444,0.0,0.14882792532444,0.14882792532444,0.14882792532444,1
2026-03-11T19:35:26.914030,1,5,0.18467332422733307,0.0,0.18467332422733307,0.18467332422733307,0.18467332422733307,1
2026-03-11T19:35:26.976691,1,6,0.17952419817447662,0.0,0.17952419817447662,0.17952419817447662,0.17952419817447662,1
2026-03-11T19:35:27.043551,1,7,0.06900397688150406,0.0,0.06900397688150406,0.06900397688150406,0.06900397688150406,1
2026-03-11T19:35:27.108676,1,8,-0.0687038004398346,0.0,-0.0687038004398346,-0.0687038004398346,-0.0687038004398346,1
2026-03-11T19:35:27.172418,1,9,-0.16304445266723633,0.0,-0.16304445266723633,-0.16304445266723633,-0.16304445266723633,1
2026-03-11T19:35:27.237720,1,10,-0.1809288114309311,0.0,-0.1809288114309311,-0.1809288114309311,-0.1809288114309311,1
2026-03-11T19:35:27.301805,1,11,-0.28439760208129883,0.0,-0.28439760208129883,-0.28439760208129883,-0.28439760208129883,1
2026-03-11T19:35:27.364230,1,12,-0.4812222123146057,0.0,-0.4812222123146057,-0.4812222123146057,-0.4812222123146057,1
2026-03-11T19:35:27.426743,1,13,-0.7125979065895081,0.0,-0.7125979065895081,-0.7125979065895081,-0.7125979065895081,1
2026-03-11T19:35:27.490340,1,14,-0.9139469861984253,0.0,-0.9139469861984253,-0.9139469861984253,-0.9139469861984253,1
2026-03-11T19:35:27.554412,1,15,-1.0770646333694458,0.0,-1.0770646333694458,-1.0770646333694458,-1.0770646333694458,1
2026-03-11T19:35:27.620111,1,16,-1.2372359037399292,0.0,-1.2372359037399292,-1.2372359037399292,-1.2372359037399292,1
2026-03-11T19:35:27.684285,1,17,-1.4709689617156982,0.0,-1.4709689617156982,-1.4709689617156982,-1.4709689617156982,1
2026-03-11T19:35:27.750210,1,18,-1.5410377979278564,0.0,-1.5410377979278564,-1.5410377979278564,-1.5410377979278564,1
2026-03-11T19:35:27.812113,1,19,-1.394607663154602,0.0,-1.394607663154602,-1.394607663154602,-1.394607663154602,1
2026-03-11T19:35:27.875904,1,20,-1.1342803239822388,0.0,-1.1342803239822388,-1.1342803239822388,-1.1342803239822388,1
