timestamp,episode,step,mean_reward,std_reward,min_reward,max_reward,total_reward,num_agents
2026-03-12T15:24:53.516799,1,0,-0.0539364293217659,0.0,-0.0539364293217659,-0.0539364293217659,-0.0539364293217659,1
2026-03-12T15:24:53.556470,1,1,-0.05391167849302292,0.0,-0.05391167849302292,-0.05391167849302292,-0.05391167849302292,1
2026-03-12T15:24:53.592305,1,2,-0.053833894431591034,0.0,-0.053833894431591034,-0.053833894431591034,-0.053833894431591034,1
2026-03-12T15:24:53.625895,1,3,-0.04750407487154007,0.0,-0.04750407487154007,-0.04750407487154007,-0.04750407487154007,1
2026-03-12T15:24:53.660598,1,4,-0.04639174044132233,0.0,-0.04639174044132233,-0.04639174044132233,-0.04639174044132233,1
2026-03-12T15:24:53.691268,1,5,-0.04314878210425377,0.0,-0.04314878210425377,-0.04314878210425377,-0.04314878210425377,1
2026-03-12T15:24:53.730260,1,6,-0.04098993167281151,0.0,-0.04098993167281151,-0.04098993167281151,-0.04098993167281151,1
2026-03-12T15:24:53.765998,1,7,-0.038070861250162125,0.0,-0.038070861250162125,-0.038070861250162125,-0.038070861250162125,1
2026-03-12T15:24:53.794582,1,8,-0.035513367503881454,0.0,-0.035513367503881454,-0.035513367503881454,-0.035513367503881454,1
2026-03-12T15:24:53.823856,1,9,-0.03271791711449623,0.0,-0.03271791711449623,-0.03271791711449623,-0.03271791711449623,1
2026-03-12T15:24:53.853182,1,10,-0.030083226040005684,0.0,-0.030083226040005684,-0.030083226040005684,-0.030083226040005684,1
2026-03-12T15:24:53.881766,1,11,-0.027361169457435608,0.0,-0.027361169457435608,-0.027361169457435608,-0.027361169457435608,1
2026-03-12T15:24:53.909754,1,12,-0.02471855655312538,0.0,-0.02471855655312538,-0.02471855655312538,-0.02471855655312538,1
2026-03-12T15:24:53.945480,1,13,-0.022037936374545097,0.0,-0.022037936374545097,-0.022037936374545097,-0.022037936374545097,1
2026-03-12T15:24:54.009125,1,14,-0.019404655322432518,0.0,-0.019404655322432518,-0.019404655322432518,-0.019404655322432518,1
2026-03-12T15:24:54.051381,1,15,-0.016755416989326477,0.0,-0.016755416989326477,-0.016755416989326477,-0.016755416989326477,1
2026-03-12T15:24:54.084244,1,16,-0.0141397500410676,0.0,-0.0141397500410676,-0.0141397500410676,-0.0141397500410676,1
2026-03-12T15:24:54.156215,1,17,-0.01151978224515915,0.0,-0.01151978224515915,-0.01151978224515915,-0.01151978224515915,1
2026-03-12T15:24:54.188662,1,18,-0.008926380425691605,0.0,-0.008926380425691605,-0.008926380425691605,-0.008926380425691605,1
2026-03-12T15:24:54.218006,1,19,-0.006335608195513487,0.0,-0.006335608195513487,-0.006335608195513487,-0.006335608195513487,1
2026-03-12T15:24:54.248597,1,20,-0.0037675234489142895,0.0,-0.0037675234489142895,-0.0037675234489142895,-0.0037675234489142895,1
2026-03-12T15:24:54.278992,1,21,-0.001206651795655489,0.0,-0.001206651795655489,-0.001206651795655489,-0.001206651795655489,1
2026-03-12T15:24:54.309169,1,22,0.0013336708070710301,0.0,0.0013336708070710301,0.0013336708070710301,0.0013336708070710301,1
2026-03-12T15:24:54.339258,1,23,0.0038635183591395617,0.0,0.0038635183591395617,0.0038635183591395617,0.0038635183591395617,1
2026-03-12T15:24:54.367409,1,24,0.006373911164700985,0.0,0.006373911164700985,0.006373911164700985,0.006373911164700985,1
2026-03-12T15:24:54.391507,1,25,0.008871392346918583,0.0,0.008871392346918583,0.008871392346918583,0.008871392346918583,1
2026-03-12T15:24:54.414564,1,26,0.011349864304065704,0.0,0.011349864304065704,0.011349864304065704,0.011349864304065704,1
2026-03-12T15:24:54.437344,1,27,0.013813539408147335,0.0,0.013813539408147335,0.013813539408147335,0.013813539408147335,1
2026-03-12T15:24:54.460807,1,28,0.016258230432868004,0.0,0.016258230432868004,0.016258230432868004,0.016258230432868004,1
2026-03-12T15:24:54.481954,1,29,0.018686609342694283,0.0,0.018686609342694283,0.018686609342694283,0.018686609342694283,1
2026-03-12T15:24:54.503965,1,30,0.021095765754580498,0.0,0.021095765754580498,0.021095765754580498,0.021095765754580498,1
2026-03-12T15:24:54.525664,1,31,0.023487336933612823,0.0,0.023487336933612823,0.023487336933612823,0.023487336933612823,1
2026-03-12T15:24:54.548121,1,32,0.025859277695417404,0.0,0.025859277695417404,0.025859277695417404,0.025859277695417404,1
2026-03-12T15:24:54.569626,1,33,0.028212543576955795,0.0,0.028212543576955795,0.028212543576955795,0.028212543576955795,1
2026-03-12T15:24:54.591714,1,34,0.030545664951205254,0.0,0.030545664951205254,0.030545664951205254,0.030545664951205254,1
2026-03-12T15:24:54.613796,1,35,0.032859161496162415,0.0,0.032859161496162415,0.032859161496162415,0.032859161496162415,1
2026-03-12T15:24:54.635779,1,36,0.03515193238854408,0.0,0.03515193238854408,0.03515193238854408,0.03515193238854408,1
2026-03-12T15:24:54.657438,1,37,0.037424203008413315,0.0,0.037424203008413315,0.037424203008413315,0.037424203008413315,1
2026-03-12T15:24:54.679440,1,38,0.03967512771487236,0.0,0.03967512771487236,0.03967512771487236,0.03967512771487236,1
2026-03-12T15:24:54.701140,1,39,0.04190472513437271,0.0,0.04190472513437271,0.04190472513437271,0.04190472513437271,1
2026-03-12T15:24:54.722333,1,40,0.04411232843995094,0.0,0.04411232843995094,0.04411232843995094,0.04411232843995094,1
2026-03-12T15:24:54.744253,1,41,0.046297814697027206,0.0,0.046297814697027206,0.046297814697027206,0.046297814697027206,1
2026-03-12T15:24:54.765614,1,42,0.048460617661476135,0.0,0.048460617661476135,0.048460617661476135,0.048460617661476135,1
2026-03-12T15:24:54.787445,1,43,0.05060058459639549,0.0,0.05060058459639549,0.05060058459639549,0.05060058459639549,1
2026-03-12T15:24:54.811354,1,44,0.05271727219223976,0.0,0.05271727219223976,0.05271727219223976,0.05271727219223976,1
2026-03-12T15:24:54.832926,1,45,0.054810527712106705,0.0,0.054810527712106705,0.054810527712106705,0.054810527712106705,1
2026-03-12T15:24:54.860140,1,46,0.05688006430864334,0.0,0.05688006430864334,0.05688006430864334,0.05688006430864334,1
2026-03-12T15:24:54.881606,1,47,0.058925848454236984,0.0,0.058925848454236984,0.058925848454236984,0.058925848454236984,1
2026-03-12T15:24:54.902895,1,48,0.06094776839017868,0.0,0.06094776839017868,0.06094776839017868,0.06094776839017868,1
2026-03-12T15:24:54.924621,1,49,0.06294593214988708,0.0,0.06294593214988708,0.06294593214988708,0.06294593214988708,1
2026-03-12T15:24:54.945725,1,50,0.06492044776678085,0.0,0.06492044776678085,0.06492044776678085,0.06492044776678085,1
2026-03-12T15:24:54.966658,1,51,0.06687158346176147,0.0,0.06687158346176147,0.06687158346176147,0.06687158346176147,1
2026-03-12T15:24:54.988658,1,52,0.06879962235689163,0.0,0.06879962235689163,0.06879962235689163,0.06879962235689163,1
2026-03-12T15:24:55.009385,1,53,0.07070493698120117,0.0,0.07070493698120117,0.07070493698120117,0.07070493698120117,1
2026-03-12T15:24:55.030175,1,54,0.07258793711662292,0.0,0.07258793711662292,0.07258793711662292,0.07258793711662292,1
2026-03-12T15:24:55.051343,1,55,0.07444905489683151,0.0,0.07444905489683151,0.07444905489683151,0.07444905489683151,1
2026-03-12T15:24:55.071928,1,56,0.07628869265317917,0.0,0.07628869265317917,0.07628869265317917,0.07628869265317917,1
2026-03-12T15:24:55.092627,1,57,0.07810728996992111,0.0,0.07810728996992111,0.07810728996992111,0.07810728996992111,1
2026-03-12T15:24:55.114386,1,58,0.07990524172782898,0.0,0.07990524172782898,0.07990524172782898,0.07990524172782898,1
